Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 128
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 128
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 128
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 128
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 128
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 128
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 129
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 1
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 128
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 128
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 128
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 128
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32847 | Angle (Calc): 3.555 | Direction: 0
Angle (Raw): 32852 | Angle (Calc): 3.78 | Direction: 0
Angle (Raw): 32854 | Angle (Calc): 3.87 | Direction: 0
Angle (Raw): 32868 | Angle (Calc): 4.5 | Direction: 0
Angle (Raw): 32861 | Angle (Calc): 4.185 | Direction: 128
Angle (Raw): 32856 | Angle (Calc): 3.96 | Direction: 128
Angle (Raw): 32854 | Angle (Calc): 3.87 | Direction: 128
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 128
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 128
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 128
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 128
Angle (Raw): 32768 | Angle (Calc): 0 | Direction: 0
Angle (Raw): 32768 | Angle (Calc): 0 | Direction: 0
Angle (Raw): 32768 | Angle (Calc): 0 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32808 | Angle (Calc): 1.8 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 0
Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 0
Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 128
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 128
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 128
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 128
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 128
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 129
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 129
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 128
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32768 | Angle (Calc): 0 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 128
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 128
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 128
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 128
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 0
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 0
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 0
Angle (Raw): 32808 | Angle (Calc): 1.8 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32852 | Angle (Calc): 3.78 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32849 | Angle (Calc): 3.645 | Direction: 0
Angle (Raw): 32847 | Angle (Calc): 3.555 | Direction: 0
Angle (Raw): 32847 | Angle (Calc): 3.555 | Direction: 0
Angle (Raw): 32845 | Angle (Calc): 3.465 | Direction: 128
Angle (Raw): 32847 | Angle (Calc): 3.555 | Direction: 0
Angle (Raw): 32847 | Angle (Calc): 3.555 | Direction: 0
Angle (Raw): 32845 | Angle (Calc): 3.465 | Direction: 0
Angle (Raw): 32845 | Angle (Calc): 3.465 | Direction: 0
Angle (Raw): 32845 | Angle (Calc): 3.465 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 128
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 128
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 128
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 128
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 128
Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 128
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 128
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 128
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 128
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 128
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 128
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 128
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 0
Angle (Raw): 32836 | Angle (Calc): 3.06 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32845 | Angle (Calc): 3.465 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 128
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 128
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32843 | Angle (Calc): 3.375 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32840 | Angle (Calc): 3.24 | Direction: 0
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 0
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 0
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 0
Angle (Raw): 32838 | Angle (Calc): 3.15 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 128
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 128
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 128
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 128
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 128
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 128
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 128
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 0
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 0
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 128
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 128
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 128
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 0
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 0
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 128
Angle (Raw): 32808 | Angle (Calc): 1.8 | Direction: 128
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 128
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32808 | Angle (Calc): 1.8 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 128
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32813 | Angle (Calc): 2.025 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 0
Angle (Raw): 32815 | Angle (Calc): 2.115 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 0
Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 0
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 0
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 0
Angle (Raw): 32829 | Angle (Calc): 2.745 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32833 | Angle (Calc): 2.925 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32831 | Angle (Calc): 2.835 | Direction: 0
Angle (Raw): 32827 | Angle (Calc): 2.655 | Direction: 128
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 128
Angle (Raw): 32824 | Angle (Calc): 2.52 | Direction: 128
